"","id","n"
"1",2,4
"2",1,6
"3",4,18
"4",6,856
"5",8,50
"6",48089,50
"7",9,38
"8",11,18
"9",11001,18
"10",12,44
"11",72054,44
"12",13,38
"13",15,6
"14",15001,6
"15",19,10
"16",19095,10
"17",55049,10
"18",16,2
"19",16049,2
"20",17,78
"21",18,23
"22",42063,23
"23",20,13
"24",21,8
"25",22,10
"26",25,89
"27",24,45
"28",23,17
"29",26,33
"30",27,17
"31",29,32
"32",5093,2
"33",28,2
"34",29133,2
"35",30,2
"36",NA,91
"37",37,28
"38",31,6
"39",33,2
"40",34,56
"41",35,6
"42",5099,21
"43",6057,21
"44",32,21
"45",36,305
"46",36061,305
"47",18115,50
"48",21183,50
"49",39,50
"50",54069,50
"51",40,9
"52",40109,9
"53",29149,48
"54",41,48
"55",42,101
"56",44,21
"57",45,2
"58",47,7
"59",29215,30
"60",40139,30
"61",48,30
"62",49,10
"63",49049,10
"64",51,38
"65",50,5
"66",1129,31
"67",5143,31
"68",8121,31
"69",12133,31
"70",13303,31
"71",16087,31
"72",17189,31
"73",18175,31
"74",19183,31
"75",20201,31
"76",21229,31
"77",22117,31
"78",23029,31
"79",24043,31
"80",27163,31
"81",28151,31
"82",29221,31
"83",31177,31
"84",36115,31
"85",37187,31
"86",39167,31
"87",40147,31
"88",41067,31
"89",42125,31
"90",44009,31
"91",47179,31
"92",48477,31
"93",49053,31
"94",50023,31
"95",51191,31
"96",53,31
"97",55131,31
"98",55,36
"99",54,3
"100",5,1
"101",5001,1
"102",10,1
"103",18035,1
"104",19055,1
"105",36025,1
"106",39041,1
"107",40041,1
"108",42045,1
"109",38,1
"110",46,1
"111",36121,1
"112",42131,1
"113",54109,1
"114",56,1
