"Test_Scores","Neighbors","Algorithm","P","Norm","Train_Time"
0.84156157,3,"ball_tree",1,"Original Data",4.10952048
0.83738337,3,"ball_tree",1,"Original Data",7.51193838
0.83640931,3,"ball_tree",2,"Original Data",8.3175106
0.83335897,3,"ball_tree",2,"Original Data",5.07440729
0.84858505,5,"ball_tree",1,"Original Data",5.01736598
0.84453501,5,"ball_tree",1,"Original Data",3.89016471
0.84268943,5,"ball_tree",2,"Original Data",5.11383448
0.83938275,5,"ball_tree",2,"Original Data",5.44465895
0.85637752,10,"ball_tree",1,"Original Data",6.48912339
0.84996924,10,"ball_tree",1,"Original Data",4.69957261
0.85019994,10,"ball_tree",2,"Original Data",5.21526489
0.84435558,10,"ball_tree",2,"Original Data",5.22507381
0.84097201,3,"kd_tree",1,"Original Data",5.92280874
0.83669127,3,"kd_tree",1,"Original Data",4.69723153
0.83617861,3,"kd_tree",2,"Original Data",4.49199352
0.83305137,3,"kd_tree",2,"Original Data",5.39259396
0.84871322,5,"kd_tree",1,"Original Data",3.80170155
0.84435558,5,"kd_tree",1,"Original Data",3.51174688
0.84271506,5,"kd_tree",2,"Original Data",4.39029436
0.83928022,5,"kd_tree",2,"Original Data",3.87255206
0.85617246,10,"kd_tree",1,"Original Data",3.98637533
0.85027684,10,"kd_tree",1,"Original Data",4.27421489
0.85043064,10,"kd_tree",2,"Original Data",4.90933027
0.84425305,10,"kd_tree",2,"Original Data",3.60736651
0.81659389,3,"ball_tree",1,"Normalized Data",1.41480842
0.80844761,3,"ball_tree",1,"Normalized Data",2.0526587
0.81557241,3,"ball_tree",2,"Normalized Data",1.80688472
0.80742613,3,"ball_tree",2,"Normalized Data",1.85591846
0.82364207,5,"ball_tree",1,"Normalized Data",1.77906337
0.81531704,5,"ball_tree",1,"Normalized Data",1.8064846
0.82218647,5,"ball_tree",2,"Normalized Data",1.77466054
0.81427003,5,"ball_tree",2,"Normalized Data",1.86012177
0.83227355,10,"ball_tree",1,"Normalized Data",1.78286667
0.82351439,10,"ball_tree",1,"Normalized Data",1.87693362
0.8316862,10,"ball_tree",2,"Normalized Data",1.7156199
0.82305473,10,"ball_tree",2,"Normalized Data",1.74323964
0.81692587,3,"kd_tree",1,"Normalized Data",1.74624104
0.80862637,3,"kd_tree",1,"Normalized Data",1.76945777
0.81587885,3,"kd_tree",2,"Normalized Data",1.78626928
0.80752828,3,"kd_tree",2,"Normalized Data",1.74323821
0.82346332,5,"kd_tree",1,"Normalized Data",1.7294291
0.81513828,5,"kd_tree",1,"Normalized Data",1.78086591
0.82223754,5,"kd_tree",2,"Normalized Data",1.77966404
0.81437217,5,"kd_tree",2,"Normalized Data",1.81188717
0.8318905,10,"kd_tree",1,"Normalized Data",1.7846683
0.82348885,10,"kd_tree",1,"Normalized Data",1.83730602
0.83201818,10,"kd_tree",2,"Normalized Data",1.75204487
0.82300365,10,"kd_tree",2,"Normalized Data",1.68679876
